Apprentice,Days Since Last Attendance,Date
Apprentice 1,2,2024-08-15
Apprentice 2,2,2024-08-15
Apprentice 3,2,2024-08-15
Apprentice 4,21,2024-08-15
Apprentice 5,2,2024-08-15
Apprentice 6,21,2024-08-15
Apprentice 7,2,2024-08-15
Apprentice 8,16,2024-08-15
Apprentice 9,2,2024-08-15
Apprentice 10,22,2024-08-15
Apprentice 11,2,2024-08-15
Apprentice 12,2,2024-08-15
Apprentice 13,22,2024-08-15
Apprentice 14,2,2024-08-15
Apprentice 15,1,2024-08-15
Apprentice 16,2,2024-08-15
Apprentice 17,2,2024-08-15
Apprentice 18,2,2024-08-15
Apprentice 19,2,2024-08-15
Apprentice 20,2,2024-08-15
Apprentice 21,2,2024-08-15
Apprentice 22,21,2024-08-15
Apprentice 23,2,2024-08-15
Apprentice 24,2,2024-08-15
Apprentice 25,2,2024-08-15
Apprentice 26,21,2024-08-15
Apprentice 27,2,2024-08-15
Apprentice 28,2,2024-08-15
Apprentice 29,2,2024-08-15
Apprentice 30,14,2024-08-15
Apprentice 31,2,2024-08-15
Apprentice 32,2,2024-08-15
Apprentice 33,2,2024-08-15
Apprentice 34,2,2024-08-15
Apprentice 35,21,2024-08-15
