Apprentice,Status,Date
Apprentice 1,On-Track,2024-08-15
Apprentice 2,On-Track,2024-08-15
Apprentice 3,Off-Track,2024-08-15
Apprentice 4,On-Track,2024-08-15
Apprentice 5,On-Track,2024-08-15
Apprentice 6,On-Track,2024-08-15
Apprentice 7,On-Track,2024-08-15
Apprentice 8,On-Track,2024-08-15
Apprentice 9,Off-Track,2024-08-15
Apprentice 10,Off-Track,2024-08-15
Apprentice 11,On-Track,2024-08-15
Apprentice 12,On-Track,2024-08-15
Apprentice 13,On-Track,2024-08-15
Apprentice 14,On-Track,2024-08-15
Apprentice 15,Off-Track,2024-08-15
Apprentice 16,Off-Track,2024-08-15
Apprentice 17,On-Track,2024-08-15
Apprentice 18,On-Track,2024-08-15
Apprentice 19,On-Track,2024-08-15
Apprentice 20,On-Track,2024-08-15
Apprentice 21,On-Track,2024-08-15
Apprentice 22,Off-Track,2024-08-15
Apprentice 23,On-Track,2024-08-15
Apprentice 24,On-Track,2024-08-15
Apprentice 25,On-Track,2024-08-15
Apprentice 26,On-Track,2024-08-15
Apprentice 27,On-Track,2024-08-15
Apprentice 28,On-Track,2024-08-15
Apprentice 29,On-Track,2024-08-15
Apprentice 30,On-Track,2024-08-15
Apprentice 31,On-Track,2024-08-15
Apprentice 32,On-Track,2024-08-15
Apprentice 33,Off-Track,2024-08-15
Apprentice 34,On-Track,2024-08-15
Apprentice 35,On-Track,2024-08-15
