Apprentice,Days Since Last Attendance,Date
Apprentice 1,2,2024-07-18
Apprentice 2,15,2024-07-18
Apprentice 3,2,2024-07-18
Apprentice 4,2,2024-07-18
Apprentice 5,15,2024-07-18
Apprentice 6,2,2024-07-18
Apprentice 7,15,2024-07-18
Apprentice 8,2,2024-07-18
Apprentice 9,15,2024-07-18
Apprentice 10,2,2024-07-18
Apprentice 11,2,2024-07-18
Apprentice 12,2,2024-07-18
Apprentice 13,2,2024-07-18
Apprentice 14,2,2024-07-18
Apprentice 15,28,2024-07-18
Apprentice 16,16,2024-07-18
Apprentice 17,2,2024-07-18
Apprentice 18,2,2024-07-18
Apprentice 19,2,2024-07-18
Apprentice 20,2,2024-07-18
Apprentice 21,30,2024-07-18
Apprentice 22,2,2024-07-18
Apprentice 23,99,2024-07-18
Apprentice 24,2,2024-07-18
Apprentice 25,2,2024-07-18
Apprentice 26,2,2024-07-18
Apprentice 27,2,2024-07-18
Apprentice 28,15,2024-07-18
Apprentice 29,2,2024-07-18
Apprentice 30,2,2024-07-18
Apprentice 31,2,2024-07-18
Apprentice 32,2,2024-07-18
Apprentice 33,15,2024-07-18
Apprentice 34,2,2024-07-18
Apprentice 35,2,2024-07-18
Apprentice 36,15,2024-07-18
Apprentice 37,2,2024-07-18
