Apprentice,LM ROI Out of 6,Date
Apprentice 1,4,2024-08-15
Apprentice 2,6,2024-08-15
Apprentice 3,5,2024-08-15
Apprentice 4,4,2024-08-15
Apprentice 5,4,2024-08-15
Apprentice 6,3,2024-08-15
Apprentice 7,,2024-08-15
Apprentice 8,5,2024-08-15
Apprentice 9,4,2024-08-15
Apprentice 10,3,2024-08-15
Apprentice 11,4,2024-08-15
Apprentice 12,4,2024-08-15
Apprentice 13,,2024-08-15
Apprentice 14,2,2024-08-15
Apprentice 15,4,2024-08-15
Apprentice 16,4,2024-08-15
Apprentice 17,5,2024-08-15
Apprentice 18,5,2024-08-15
Apprentice 19,5,2024-08-15
Apprentice 20,4,2024-08-15
Apprentice 21,5,2024-08-15
Apprentice 22,2,2024-08-15
Apprentice 23,4,2024-08-15
Apprentice 24,5,2024-08-15
Apprentice 25,6,2024-08-15
Apprentice 26,4,2024-08-15
Apprentice 27,5,2024-08-15
Apprentice 28,4,2024-08-15
Apprentice 29,5,2024-08-15
Apprentice 30,5,2024-08-15
Apprentice 31,5,2024-08-15
Apprentice 32,5,2024-08-15
Apprentice 33,6,2024-08-15
Apprentice 34,4,2024-08-15
Apprentice 35,4,2024-08-15
